,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,13657,48850,Entire home/apt,,Praha 2,25,5.0,4.0,1.0,1.0,80.0,2.0,50.070477,14.41556,2016-03-21 18:30:59.818801
1,23169,5282,Entire home/apt,,Praha 1,69,4.5,2.0,0.0,1.0,104.0,,50.089077,14.424365,2016-03-21 18:10:16.111932
2,26748,113902,Entire home/apt,,Praha 7,117,5.0,,2.0,1.0,104.0,,50.100107,14.425674,2016-03-21 18:05:25.499043
3,26755,113902,Entire home/apt,,Praha 1,29,5.0,4.0,1.0,,88.0,,50.085693,14.433435,2016-03-21 19:00:35.226291
4,27916,120384,Entire home/apt,,Praha 3,230,5.0,3.0,0.0,1.0,45.0,2.0,50.081129,14.456795,2016-03-21 17:46:01.588753
5,33809,146052,Entire home/apt,,Praha 1,124,5.0,3.0,1.0,1.0,76.0,3.0,50.088708,14.407695,2016-03-21 17:38:55.140272
6,33813,146052,Entire home/apt,,Praha 2,124,5.0,2.0,1.0,1.0,52.0,3.0,50.072404,14.440794,2016-03-21 14:41:14.001958
7,34088,147035,Private room,,Praha 2,218,5.0,1.0,1.0,,21.0,1.0,50.075227,14.445664,2016-03-21 17:01:46.270342
8,40530,174579,Entire home/apt,,Praha 1,28,4.5,3.0,1.0,1.0,38.0,3.0,50.08744,14.401725,2016-03-21 17:39:30.521720
9,40726,174245,Entire home/apt,,Praha 3,45,4.5,4.0,1.0,1.0,45.0,3.0,50.079117,14.453729,2016-03-21 17:56:24.957534
10,40728,174245,Entire home/apt,,Praha 3,63,4.5,4.0,1.0,1.0,45.0,3.0,50.078706,14.452129,2016-03-21 16:28:13.154557
11,42514,185641,Entire home/apt,,Praha 1,258,5.0,3.0,1.0,1.0,95.0,3.0,50.083647,14.414092,2016-03-21 16:10:37.997207
12,43510,174579,Entire home/apt,,Praha 1,19,4.5,4.0,1.0,1.0,38.0,3.0,50.088835,14.402236,2016-03-21 18:05:53.782899
13,43522,174579,Entire home/apt,,Praha 1,23,4.5,3.0,1.0,1.0,38.0,4.0,50.087523,14.40366,2016-03-21 18:34:05.236184
14,46142,162082,Entire home/apt,,Praha 1,9,5.0,2.0,1.0,1.0,115.0,2.0,50.089576,14.410612,2016-03-21 17:34:19.539456
15,49857,227945,Entire home/apt,,Praha 2,83,4.5,4.0,1.0,1.0,39.0,,50.070283,14.432158,2016-03-21 15:42:24.835521
16,49874,227945,Entire home/apt,,Praha 2,63,4.5,3.0,1.0,,39.0,,50.071369,14.432737,2016-03-21 18:32:48.804331
17,50967,227945,Entire home/apt,,Praha 3,91,4.5,,2.0,1.0,42.0,,50.08122,14.448349,2016-03-21 18:31:34.934928
18,52148,227945,Entire home/apt,,Praha 2,51,4.5,,1.0,,40.0,,50.071417,14.43069,2016-03-21 14:53:50.128225
19,54793,257722,Entire home/apt,,Praha 9,98,4.5,4.0,1.0,,36.0,2.0,50.110396,14.497662,2016-03-21 17:33:55.004989
20,55361,261432,Entire home/apt,,Praha 7,3,3.0,,2.0,,58.0,3.0,50.099497,14.429218,2016-03-21 14:18:55.019161
21,55382,253631,Entire home/apt,,Praha 1,12,4.5,2.0,1.0,1.0,22.0,2.0,50.083968,14.429298,2016-03-21 17:04:57.251225
22,55844,227945,Entire home/apt,,Praha 2,126,4.5,3.0,1.0,1.0,39.0,,50.078017,14.434126,2016-03-21 14:35:11.443174
23,55856,227945,Entire home/apt,,Praha 2,108,4.5,4.0,1.0,,45.0,,50.078323,14.434506,2016-03-21 17:59:16.949141
24,60569,185641,Private room,,Praha 1,27,4.5,2.0,1.0,,75.0,3.0,50.087532,14.406905,2016-03-21 17:15:15.548186
25,62853,251790,Entire home/apt,,Praha 4,77,5.0,,2.0,1.0,88.0,1.0,50.057334,14.443302,2016-03-21 15:30:55.409746
26,67612,333807,Entire home/apt,,Praha 1,122,4.5,,2.0,1.0,102.0,2.0,50.077303,14.426587,2016-03-21 14:17:11.121249
27,69335,227945,Entire home/apt,,Praha 14,28,4.5,,4.0,3.0,58.0,,50.111815,14.554078,2016-03-21 17:39:11.585649
28,70003,227945,Entire home/apt,,Praha 3,34,4.5,2.0,1.0,1.0,31.0,,50.087691,14.451635,2016-03-21 16:12:27.638647
29,73268,382300,Private room,,Praha 7,5,4.5,2.0,1.0,1.0,25.0,1.0,50.101725,14.423315,2016-03-21 16:53:08.732622
30,74366,383698,Entire home/apt,,Praha 1,23,4.5,3.0,1.0,1.0,80.0,,50.083926,14.418092,2016-03-21 18:35:33.342344
31,75926,404062,Private room,,Praha 2,128,5.0,2.0,1.0,1.0,40.0,2.0,50.070589,14.441641,2016-03-21 15:38:49.391863
32,76120,405731,Private room,,Praha 8,1,5.0,2.0,1.0,1.0,70.0,1.0,50.130688,14.462011,2016-03-21 14:23:11.214540
33,76144,405927,Entire home/apt,,Praha 7,63,5.0,2.0,1.0,1.0,30.0,2.0,50.107563,14.447735,2016-03-21 18:58:49.319325
34,76254,406700,Private room,,Praha 2,85,4.5,3.0,1.0,1.0,28.0,2.0,50.070289,14.434867,2016-03-21 18:19:15.587760
35,79373,5282,Entire home/apt,,Praha 1,21,4.5,3.0,0.0,1.0,113.0,,50.088519,14.424308,2016-03-21 18:48:17.929641
36,79381,5282,Entire home/apt,,Praha 1,6,5.0,4.0,1.0,1.0,129.0,,50.090276,14.422857,2016-03-21 15:30:31.520669
37,80349,434068,Entire home/apt,,Praha 2,33,5.0,4.0,2.0,,105.0,3.0,50.0744,14.423119,2016-03-21 17:56:06.567362
38,81020,438733,Entire home/apt,,Praha 2,122,4.5,,3.0,,92.0,4.0,50.078138,14.438618,2016-03-21 19:11:55.488100
39,82379,448305,Entire home/apt,,Praha 3,3,4.5,3.0,2.0,1.0,67.0,2.0,50.08102,14.457321,2016-03-21 18:28:22.864438
40,84538,146052,Entire home/apt,,Praha 1,184,4.5,2.0,1.0,1.0,62.0,3.0,50.089835,14.406123,2016-03-21 18:04:16.300919
41,98852,517329,Entire home/apt,,Praha 1,243,4.5,2.0,1.0,1.0,93.0,2.0,50.086143,14.42145,2016-03-21 19:12:29.004821
42,104797,517329,Entire home/apt,,Praha 2,198,4.5,4.0,1.0,,58.0,3.0,50.074278,14.438437,2016-03-21 15:02:27.243086
43,106207,227945,Entire home/apt,,Praha 3,63,4.5,4.0,1.0,1.0,39.0,,50.085744,14.450895,2016-03-21 14:50:20.062277
44,109549,565267,Entire home/apt,,Praha 1,58,4.5,4.0,2.0,1.0,99.0,2.0,50.091532,14.425788,2016-03-21 18:10:51.238538
45,111141,227945,Entire home/apt,,Praha 3,77,4.5,3.0,1.0,1.0,31.0,,50.085487,14.450903,2016-03-21 14:52:15.567906
46,117451,546587,Entire home/apt,,Praha 5,139,4.5,4.0,1.0,1.0,91.0,,50.065576,14.401441,2016-03-21 16:23:02.828559
47,142452,147035,Private room,,Praha 2,156,5.0,2.0,1.0,,41.0,1.0,50.076871,14.446349,2016-03-21 14:20:45.518996
48,142476,147035,Private room,,Praha 2,127,4.5,2.0,1.0,,41.0,1.0,50.075539,14.44537,2016-03-21 19:01:41.412145
49,144023,698273,Entire home/apt,,Praha 10,13,5.0,3.0,1.0,1.0,70.0,2.0,50.074244,14.45683,2016-03-21 14:28:00.584610
50,144069,698273,Entire home/apt,,Praha 1,16,4.5,2.0,1.0,1.0,58.0,3.0,50.084451,14.403728,2016-03-21 15:55:18.791358
51,146690,589265,Entire home/apt,,Praha 3,129,5.0,,2.0,1.0,76.0,3.0,50.08686,14.445963,2016-03-21 18:43:10.091053
