"url","Text","Celkova cena","aktualizace","druh stavby","Stav objektu","vlastnictvi","Podlazi","Uzitna plocha","Doprava","Lodzie-m2","Vybaveni","Energ. narocnost","nadpis","Adresa","cena"
"https://www.sreality.cz/detail/prodej/byt/3+1/praha-mala-strana-mostecka/4098707548","Stylově zařízený zrekonstruovaný byt přímo sousedící s Karlovým mostem se zachovalými původními prvky včetně dřevěného malovaného stropu nacházející se ve 2. podlaží Domu U Šteiniců, jež je na seznamu národních kulturních památek, v historickém centru Prahy jen pár kroků od Karlova mostu s výhledem na fasády malostranských domů.Tento moderní byt tvoří prostorný obývací pokoj s historickou malbou z 19. století, krytou sklápěcí postelí pro hosty a knihovnou s navrženým tajným vstupem do koupelny s ohledem na soukromí hostů, plně vybavená designová kuchyň, jídelna se stěnou s původní grafitovou výzdobou, ložnice vybavená samostatně stojící vanou z litého mramoru, šatna a 2 koupelny se sprchou a toaletou. Byt disponuje nadstandardním vybavením a materiály - ve všech obytných místnostech dřevěná dubová podlaha s olejovou povrchovou úpravou, v hlavní koupelně kombinace hladkého skleněného obkladu v kontrastu s texturou břidlice, celý byt vybavený audio-video systémem s centrálním ovládáním.Tento byt poskytující naprosté soukromí se nachází v exkluzivní lokalitě centra Prahy v blízkosti Karlova mostu a Malostranského náměstí.Interiér 117 m2.","Informace o ceně na dotaz","Cihlová","Po rekonstrukci","","","","Osobní","117","117","","","Prodej bytu 3+1 117 m²","Mostecká, Praha - Malá Strana","Info o ceně u RK"
"https://www.sreality.cz/detail/prodej/byt/3+1/praha-liben-na-sedive/1183510876","Exkluzivně nabízíme k prodeji byt 3+1, 58 m2, DV, Praha 8 - Libeň, ul. Na Šedivé. Byt se nachází nachází ve 3. NP bytového domu v klidné lokalitě nedaleko lesa. Má neprůchozí pokoje, prostorný obývací pokoj s velkými francouzskými okny a samostatnou kuchyni. Z chodby je přístup do koupelny s vanou, samostatné toalety a komory. Dále k bytu náleží sklepní kóje v suterénu domu. V bytě jsou nová plastová okna, nová přípojka plynu a stoupačky. Jinak je byt určen k rekonstrukci. V domě jsou nové stoupačky, nové přípojky plynu, nové vstupní dveře a vyměněná okna na chodbách. Do budoucna se plánuje zateplení domu.; Dobrá dopravní dostupnost, v okolí veškerá občanská vybavenost.; Tuto nemovitost nelze použít jako zástavu ve prospěch banky. V případě použití jiné nemovitosti k zástavě Vám zajistíme hypotéku s nízkou úrokovou sazbou.; Doporučujeme prohlídku. Energetická třída není stanovena = ""G""","2 399 000 Kč za nemovitost","12626","Dnes","1101433 Kč","Cihlová","Velmi dobrý; Telefon, Internet, Kabelová televize","58","Dálkový vodovod","1974","Plyn: Plynovod","Ústřední plynové","Prodej bytu 3+1 58 m²","Na Šedivé, Praha 8 - Libeň","2 399 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-bubenska/2470240604","Exkluzivně nabízíme k prodeji byt 2+kk, 37 m2 + balkon 3 m2, OV, Praha 7 - Holešovice, ul. Bubenská. Byt se nachází v přízemí cihlového domu s výtahem. Z předsíně je vstup do obývacího pokoje s kuchyňským koutem (18,62 m2), koupelny se sprchovým koutem a WC a ložnice (10,85 m2), ze které je vstup na balkon s výhledem do vnitrobloku. Byt je po rekonstrukci - plastová okna, nová koupelna, kuchyňská linka, podlahy. Vytápění je řešeno infrapanely, ohřev vody vlastním bojlerem.; Dobrá dopravní dostupnost - v docházkové vzdálenosti metro ""C"" Vltavská, v okolí veškerá občanská vybavenost.; Na tuto nemovitost Vám pomůžeme zajistit financování s nízkou úrokovou sazbou.; Doporučujeme prohlídku.","3 396 816 Kč za nemovitost","12762","Dnes","Cihlová","Velmi dobrý","Osobní; Třída D - Méně úsporná č. 148/2007 Sb. podle vyhlášky","3","Veřejná kanalizace","Lokální elektrické","Elektřina: 230V","Telefon, Internet, Kabelové rozvody","Prodej bytu 2+kk 37 m²","Bubenská, Praha 7 - Holešovice","3 396 816 Kč"
"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-/2435830108","Nabízíme k prodeji byt s dispozicí 3+kk ve 4. nadzemním podlaží novostavby v klidné lokalitě obklopené zelení. Byt se skládá z předsíně (5,8 m²), dvou ložnic (12,2 a 8,1 m²), obývacího pokoje s kuchyňským koutem (16,3 m²), koupelny (4,5 m²), samostatného WC (1,4 m²) a lodžie (2,8 m²). K bytu náleží také parkovací místo a sklep o velikosti 5,5 m². Datum dokončení je plánováno na zimu roku 2017. Veškerá občanská vybavenost v místě, dobrá dopravní dostupnost. Doporučujeme.","3 590 000 Kč za nemovitost, včetně provize","Dnes","Cihlová","Ve výstavbě","Osobní","4. podlaží z celkem 6","60","Dálkový vodovod","2","Energetická náročnost budovy: Třída G - Mimořádně nehospodárná","Veřejná kanalizace","Prodej bytu 3+kk 60 m²","Praha 10 - Uhříněves","3 590 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/4+kk/praha-uhrineves-/2704265564","Nabízíme k prodeji byt s dispozicí 4+kk v 5. nadzemním podlaží novostavby v klidné lokalitě obklopené zelení. Byt se skládá z předsíně (9,3 m²), komory (1,7 m²), tří ložnic (11,5 , 12,8 a 9,6 m², obývacího pokoje s kuchyňským koutem (17,8 m²), koupelny (4,4 m²), samostatného WC (1,5 m²) a lodžie (2 m²). K bytu náleží také parkovací místo a sklep o velikosti 2,5 m². Datum dokončení je plánováno na zimu roku 2017. Veškerá občanská vybavenost v místě, dobrá dopravní dostupnost. Doporučujeme.","4 190 000 Kč za nemovitost, včetně provize","Dnes","Cihlová","Ve výstavbě","Osobní","5. podlaží z celkem 7","77","Dálkový vodovod","2","Elektřina: 230V","Veřejná kanalizace","Prodej bytu 4+kk 77 m²","Praha 10 - Uhříněves","4 190 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-/3761230172","Nabízíme k prodeji byt s dispozicí 3+kk ve 2. nadzemním podlaží novostavby v klidné lokalitě obklopené zelení. Byt se skládá z předsíně (6 m²), dvou ložnic (12,1 a 8,2 m²), obývacího pokoje s kuchyňským koutem (17,8 m²), koupelny (4 m²), samostatného WC (1,2 m²), šatny (4,7 m²), komory (2,25 m²) a lodžie (3 m²). K bytu náleží také parkovací místo a sklep o velikosti 4 m². Datum dokončení je plánováno na zimu roku 2017. Veškerá občanská vybavenost v místě, dobrá dopravní dostupnost. Doporučujeme.","3 890 000 Kč za nemovitost, včetně provize","Dnes","Cihlová","Ve výstavbě","Osobní","2. podlaží z celkem 6","67","Dálkový vodovod","4","Elektřina: 230V","Veřejná kanalizace","Prodej bytu 3+kk 67 m²","Praha 10 - Uhříněves","3 890 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/3+kk/praha-repy-spanielova/2809647452","Prostorný byt 3+kk/L o celkové výměře 75 m2, který se nachází v předposledním 6 patře panelového domu s výtahem. Byt je po rekonstrukci: zděné jádro, koupelna s vanou a Wc odděleně, nová kuchyňská linka s indukční deskou, horkovzdušnou troubou, myčkou a digestoří. Bezpečnostní vchodové dveře, interiérové vnitřní dveře do koupeny zasouvací dveře. Na podlahách dlažba a plovoucí podlaha. Byt původně 3+1, nyní obývák propojen s kuchyní a jídelní částí tak, aby vzniklo co nejvíce volného prostoru a aby mohli být všichni členové rodiny pohromadě. Místnost je vizuálně rozdělena zděným pultem s úložnými prostory. V ložnici sestava vestavěných skříní. K bytu náleží sklep - 5 m2. Dům je po celkové revitalizaci : fasáda + zateplení, plastová okna a stoupačky, výtah. Osobní vlastnictví, možnost financovat hypotečním úvěrem...","3 790 000 Kč za nemovitost, + provize RK","Panelová","Velmi dobrý","Osobní","Sídliště","6. podlaží z celkem 7; Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky","","Plynovod","Ústřední dálkové","Elektřina: 230V","Telefon, Internet, Kabelová televize","Prodej bytu 3+kk 75 m²","Španielova, Praha 6 - Řepy","3 790 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/3+1/praha-hlubocepy-hogerova/2541211996","Prodej zrekonstruovaného a bezbariérového bytu 3+1 s lodžií a sklepem, o celkové velikosti 81 m2, v 2NP 11-ti patrového panelového domu se dvěma výtahy, v klidné části Prahy 5, kousek od Prokopského údolí - v ulici Hogerova, 2 min od zastávky tramvaje. V budově jsou uskutečněny renovace - nový a větší výtah a plastová okna. Zateplení a fasáda plánovány v horizontu 1 roku. Bytové jádro je zděné. Příznivá orientace oken obýváku, kuchyně a jedné ložnice na východ, druhál ložnice pak na sever. Byt je svým stavem po rekonstrukci a účelné změně dispozice - 3 krát vestavěné skříně, kvalitní dřevěné dveře + vstupní bezpečnostní dveře, zvětšené bytové jádro s rohovou vanou. K bytu náleží sklep v suterénu (2 m2), vytápění dálkové. Vhodné pro zájemce kladoucí požadavek na klidné bydlení s dostupností do centra města, splňující požadavky zeleně k relaxaci, s veškerou občanskou vybaveností (Billa, Kaufland, Lídl, Albert, Galerie OC). Zastávka Geologická, odkud se tram dojede za 8 minut na Metro Smíchovské nádraží je vzdálena 2 min chůze, parkování možné před domem. Barrandov je lokalita známá svou snadnou dostupností do centra, nejčistší kvalitou vzduchu ve městě, a bydlením bezprostředně na kraji přírody. Doporučuji prohlídku! Zájemci vyřídíme výhodnou hypotéku..; Lze financovat Hypoúvěrem Hypocentra Modré pyramidy např. s použitím vlastních zdrojů 390 000,- Kč a měsíční splátkou 11 076,- Kč se splatností 30 let.Volejte naše call centrum v době 9 - 19 hodin. Nepřijaté hovory budou vyřízeny v nejbližší době. Při komunikaci s námi uvádějte, prosím, číslo zakázky.","3 900 000 Kč za nemovitost, včetně provize","Panelová","Velmi dobrý","Osobní","Klidná část obce","2. podlaží z celkem 11 včetně 1 podzemního; Vlak, Dálnice, Silnice, MHD, Autobus","81","Dálkový vodovod","2","Odpad: Veřejná kanalizace","Ústřední dálkové","Prodej bytu 3+1 81 m²","Högerova, Praha 5 - Hlubočepy","3 900 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/2+1/praha-cimice-okorska/2103763292","Naše společnost Vám zprostředkuje prodej bytu 2+1 v Praze - Čimicích v ul. Okořská. Byt je po zdařilé kvalitní rekonstrukci, nová koupelna s WC, nové rozvody vody, el. i odpadu. podlaha v kuchyni keramická dlažba, v obývacím pokoji a ložnici udržované parkety, v koupelně el. vyhřívaná podlaha. Na západní stranu z obývacího pokoje je široká, zasklená lodžie. Dům je zateplen, má nový výtah, nové stoupačky a je osazen plastovýmí okny a vstupními dveřmi. K bytu náleží sklepní kóje. Náklady 3 583,- Kč/měs. + el. a plyn. U domu supermarket Albert, v okolí věškerá občanská vybavenost vč. dětských hřišť s možností využití přilehlého parku. Školka + ZŠ ve vzdálenosti do 10 minut (pěšky), přímo před domem je autobusová zastávka MHD - spoj na metro ""C"" Kobylisy (10 minut jízdy), v blízkosti je plavecký bazén a aquapark Šutka, poliklinika Mazurská, obchodní centrum Krakov, čimický háj - lesopark, draháňské údolí... Možnost částečného financování úvěrem. Ev. číslo: 603526.","2 990 000 Kč za nemovitost","Panelová","Velmi dobrý","Družstevní","1. podlaží z celkem 7","","65","","","Výtah:","Telefon, Internet, Kabelová televize","Prodej bytu 2+1 65 m²","Okořská, Praha 8 - Čimice","2 990 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/3+1/praha-repy-spanielova/2509033820","Prodej bytu 3+1 o CP 74,21 m2 v 7. NP panelového domu v klidné části Prahy 6 - Řepy. Byt v družstevním vlastnictví má nesplacenou anuitu ve výši cca 50.000 Kč, po doplacení anuity možnost převodu do OV. Byt má bezpečnostní dveře a je dispozičně řešen obývacím pokojem se vstupem na lodžii (6 m2), kuchyní, dvěma samostatnými pokoji, komorou s policovým systémem, koupelnou s vanou a samostatným WC. Jádro je zděné. Dům je po rekonstrukci, v přízemí a sklepech je nainstalován kamerový systém.","3 420 000 Kč za nemovitost, včetně provize","Dnes","Panelová","Dobrý","Družstevní","Klidná část obce; Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky","","Ústřední dálkové","Dálkový vodovod","Elektřina: 230V","Veřejná kanalizace","Prodej bytu 3+1 74 m²","Španielova, Praha 6 - Řepy","3 420 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-dalimilova/1812123996","Naše společnost si Vám dovoluje nabídnout ke koupi zrekonstruovaný ateliér o dispozici 2+kk a podlahové ploše 44 m2, který Vás nadchne klidnou atmosférou v lukrativní části Praha 3, ul. Dalimilova. Nemovitost je v osobním vlastnictví. Parkování před domem. Orientace oken do zelené, atriové zahrady s možností posezení. Ateliér je po rekonstrukci (sádrokarton, topení, voda, rozvody elektřiny). Podlahy jsou z keramické dlažby. Velké množství úložného prostoru nabízí vestavěné skříně na míru. Součástí prodeje je vybavení. Výhodná investice. Možnost přihlásit trvalý pobyt.; Dispozice: předsíň, jídelna s kuchyňským koutem, obývací pokoj s palandou a koupelna.; Velmi dobrá občanská vybavenost. V okolí: ZŠ, park Vítkov, park Parukářka, Česká pošta…; Výborná dopravní dostupnost do centra Prahy.; Doporučuji prohlídku. V případě zájmu o prohlídku mě neváhejte kontaktovat.","2 700 000 Kč za nemovitost","Dnes","Cihlová","Velmi dobrý","Osobní","Centrum obce","přízemí z celkem 4","Dálkový vodovod","44","Elektřina: 230V, 400V","Veřejná kanalizace","Prodej bytu 2+kk 44 m²","Dalimilova, Praha 3 - Žižkov","2 700 000 Kč"
"https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-wiedermannova/3395801436","K prodeji novostavba z roku 2004, bytová jednotka v OV o dispozici 2+kk s balkonem o celkové ploše 52,9 m2, umístěná v praktické a dostupné lokalitě na adrese Wiedermannova, Praha Stodůlky. Bytová jednotka je umístěná v 5 NP/7 NP cihlového domu s orientací JZ. Byt je tvořen z obývacího pokoje (17,5 m2) s balkonem (3,3 m2), kuchyní s oknem (6,4 m2), ložnicí (13,1 m2), předsíň (9,1 m2), koupelna s wc (3,5 m2). Součástí kupní ceny bytové jednotky je kuchyňská linka včetně el. trouby, varné desky, vestavěné skříně a botníku v předsíni, skříňka v koupelně. Ostatní vybavení po domluvě. Topení dálkové. V pěší vzdálenosti cca 6 minut je metro Hůrka, cca 2 minuty je stanice autobusu, který jede na metro Nemocnice Motol. Vedle domu je Kaufland, lékárna Dr. Max. Do cca 6 minut je pošta, MŠ, ZŠ, SŠ, Albert, Lidl, plavecký bazén. Do 10 minut je Prokopský park, Centrální park. V Centrálním parku možnost golfu. Prohlídky bytu po domluvě. Hypoteční úvěr bez poplatku zajistíme.","3 914 000 Kč za nemovitost","Dnes","Cihlová","Velmi dobrý","Osobní","5. podlaží z celkem 7; Třída G - Mimořádně nehospodárná","Dálkový vodovod","Veřejná kanalizace","Plynovod","Elektřina: 230V","Internet","Prodej bytu 2+kk 53 m²","Wiedermannova, Praha 5 - Stodůlky","3 914 000 Kč"
