"url","Title link","Title link_link","Locality value","Normprice value","Labelbinding values"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 117 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-mala-strana-mostecka/4098707548","Mostecká, Praha - Malá Strana","Info o ceně u RK","Po rekonstrukci; Bus 3 min. pěšky; Obchod 4 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 58 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-liben-na-sedive/1183510876","Na Šedivé, Praha 8 - Libeň","2 399 000 Kč","Družstevní; Bus 4 min. pěšky; Restaurace 6 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 37 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-bubenska/2470240604","Bubenská, Praha 7 - Holešovice","3 396 816 Kč","Balkon; Vlak 3 min. pěšky; Obchod 3 min. pěšky"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 60 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-/2435830108","Praha 10 - Uhříněves","3 590 000 Kč","Ve výstavbě"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 4+kk 77 m²","https://www.sreality.cz/detail/prodej/byt/4+kk/praha-uhrineves-/2704265564","Praha 10 - Uhříněves","4 190 000 Kč","Ve výstavbě"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 67 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-uhrineves-/3761230172","Praha 10 - Uhříněves","3 890 000 Kč","Ve výstavbě"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 75 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-repy-spanielova/2809647452","Španielova, Praha 6 - Řepy","3 790 000 Kč","Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 81 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-hlubocepy-hogerova/2541211996","Högerova, Praha 5 - Hlubočepy","3 900 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+1 65 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-cimice-okorska/2103763292","Okořská, Praha 8 - Čimice","2 990 000 Kč","Družstevní"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+1 74 m²","https://www.sreality.cz/detail/prodej/byt/3+1/praha-repy-spanielova/2509033820","Španielova, Praha 6 - Řepy","3 420 000 Kč","Družstevní; Částečně vybavený"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 44 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-dalimilova/1812123996","Dalimilova, Praha 3 - Žižkov","2 700 000 Kč",""
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 53 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-wiedermannova/3395801436","Wiedermannova, Praha 5 - Stodůlky","3 914 000 Kč","Balkon"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+1 79 m²","https://www.sreality.cz/detail/prodej/byt/2+1/praha-liben-na-strazi/3681014108","Na Stráži, Praha 8 - Libeň","3 400 000 Kč","Terasa"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 78 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-pod-labutkou/3997159772","Pod Labuťkou, Praha 8 - Libeň","4 700 000 Kč","Novostavba"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 3+kk 63 m²","https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zlicin-sazovicka/254857564","Sazovická, Praha 5 - Zličín","4 600 000 Kč","Terasa; Garáž"
"https://www.sreality.cz/hledani/prodej/byty/praha-1,praha-2,praha-3,praha-5,praha-6,praha-7,praha-10,praha-8?velikost=2%2Bkk,2%2B1,3%2Bkk,3%2B1,4%2Bkk,4%2B1&cena-od=0&cena-do=5000000&strana=2","Prodej bytu 2+kk 61 m²","https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-28--pluku/3373257052","28. pluku, Praha 10 - Vršovice","4 750 000 Kč","Novostavba; Terasa"
